year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-nov-avg-temp,april-nov-precipitation,april-nov-pdsi,april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october,april-nov-subsoil-score,april-nov-topsoil-score
1931,nebraska,,,,,,61.1,15.39,-1.5114285714285711,48.6,56.5,74.8,76.6,72.4,69.6,53.8,36.2,1.25,2.08,2.58,1.94,2.31,2.12,1.11,2.0,-0.32,-0.7,-1.47,-2.05,-2.22,-2.41,-2.48,0.75,17.89320214754626,0.3,17.0,4.2,,,,,,,,,,,,,,,,
1932,illinois,,,,,,61.6,25.47,-0.6142857142857141,52.0,63.4,73.2,76.8,73.8,64.8,53.1,35.4,1.8,2.36,3.93,3.32,5.63,2.89,3.86,1.68,-2.11,-2.58,-2.49,-2.51,0.82,0.65,1.04,0.77,133.57841126990144,0.27,43.0,8.0,,,,,,,,,,,,,,,,
1932,indiana,,,,,,60.8,27.55,-0.3028571428571428,50.2,61.6,72.0,75.5,72.8,64.7,53.0,36.4,2.68,1.36,4.4,3.42,3.48,5.79,3.93,2.49,-0.72,-1.67,-1.53,-1.73,-1.68,1.09,1.63,1.77,90.08897693683748,0.26,37.5,9.0,,,,,,,,,,,,,,,,
1932,iowa,,,,,,58.7,26.18,1.6799999999999995,48.9,61.7,71.3,75.2,71.4,61.1,48.4,31.4,1.9,3.92,5.14,3.08,6.76,2.1,1.77,1.51,1.91,1.64,1.61,1.19,2.25,1.81,1.63,1.63,44.23095274609532,0.3,43.0,9.2,,,,,,,,,,,,,,,,
1932,minnesota,,,,,,52.9,18.81,-2.6028571428571428,41.5,55.6,67.3,69.7,67.6,56.1,41.2,24.0,1.94,3.06,2.85,2.87,3.5,1.09,1.57,1.93,-1.75,-1.65,-2.3,-2.56,-2.52,-3.27,-3.17,-2.75,30.436242456073636,0.28,37.5,7.2,,,,,,,,,,,,,,,,
1932,missouri,,,,,,64.1,26.02,-0.4285714285714285,56.7,65.4,74.6,79.4,76.8,67.0,54.9,38.2,2.51,1.96,4.85,3.77,5.24,2.28,3.54,1.87,-1.24,-2.1,-0.03,-0.07,0.49,-0.45,-0.3,-0.54,53.73923045594136,,28.0,6.5,,,,,,,,,,,,,,,,
1932,nebraska,,,,,,59.6,17.56,-0.6371428571428571,51.1,61.3,69.0,76.7,73.6,61.8,47.2,36.2,2.12,2.77,4.19,2.79,3.07,1.28,1.21,0.13,-0.27,-0.74,-0.49,-0.56,-0.32,-0.73,-0.57,-1.05,17.919059376083176,0.27,25.0,4.2,,,,,,,,,,,,,,,,
1933,illinois,,,,,,63.2,25.2,-1.6128571428571428,50.9,63.4,77.4,77.2,72.6,72.2,52.5,39.7,3.53,8.02,1.39,2.38,2.63,3.72,2.87,0.66,1.38,2.62,-1.31,-2.03,-2.4,-2.49,-2.36,-3.32,134.13095898973555,0.5,27.5,5.5,,,,,,,,,,,,,,,,
1933,indiana,,,,,,62.5,27.69,-1.3471428571428572,50.2,63.9,76.2,76.1,71.6,71.0,52.1,38.9,4.35,8.1,1.2,2.41,2.79,5.05,2.74,1.05,2.65,3.7,-1.45,-2.28,-2.6,-2.01,-1.96,-2.83,90.72050588214296,0.47,29.5,7.0,,,,,,,,,,,,,,,,
1933,iowa,,,,,,60.4,19.22,-2.4299999999999997,47.7,59.8,77.1,75.5,69.6,68.4,48.9,36.0,1.19,4.24,1.52,3.54,2.92,4.16,1.32,0.33,-0.7,-0.48,-2.1,-2.36,-2.68,-2.68,-2.95,-3.76,44.33757617577655,0.5,40.0,9.0,,,,,,,,,,,,,,,,
1933,minnesota,,,,,,53.8,16.89,-3.834285714285715,40.1,54.8,71.4,71.6,65.9,61.5,41.0,24.2,1.54,3.48,2.04,2.55,1.74,3.04,1.55,0.95,-2.21,-1.76,-3.09,-3.76,-4.62,-4.54,-4.4,-4.67,30.74681635868663,0.44,31.0,6.5,,,,,,,,,,,,,,,,
1933,missouri,,,,,,65.6,27.62,-1.2771428571428571,53.9,65.5,77.6,78.9,74.8,73.8,55.5,44.7,3.67,7.53,1.4,2.5,3.98,4.6,2.97,0.97,0.55,1.42,-1.17,-1.76,-1.64,-1.63,-1.68,-2.48,54.1265660732159,,24.0,6.0,,,,,,,,,,,,,,,,
1933,nebraska,,,,,,60.8,16.58,-2.501428571428572,47.4,56.6,76.6,76.9,70.2,67.6,51.4,39.5,2.87,3.04,1.06,2.89,4.01,2.35,0.06,0.3,-1.14,-1.16,-2.9,-3.16,-2.17,-2.14,-2.82,-3.16,17.90613076181472,0.41,22.5,4.5,,,,,,,,,,,,,,,,
1934,illinois,,,,,,64.9,26.66,-3.4285714285714284,52.1,67.2,78.2,81.0,74.4,64.0,57.0,45.1,1.72,0.99,3.03,3.21,3.92,6.56,1.7,5.53,-5.65,-6.53,-6.85,-7.05,-6.52,1.16,0.55,1.24,134.2000274547148,0.79,22.1,4.8,,,,,,,,,,,,,,,,
1934,indiana,,,,,,63.8,22.54,-4.777142857142857,50.6,65.2,76.5,79.7,72.9,65.4,55.1,44.6,1.61,1.13,3.63,2.44,4.59,5.64,0.54,2.96,-4.1,-4.99,-5.16,-5.82,-5.04,-3.65,-4.29,-4.49,91.13237258560304,0.78,27.6,6.5,,,,,,,,,,,,,,,,
1934,iowa,,,,,,62.7,23.75,-6.041428571428573,49.2,69.0,76.5,78.9,72.3,59.9,55.3,40.1,1.01,0.96,3.45,4.09,2.83,4.97,1.52,4.92,-5.68,-7.13,-7.49,-7.49,-7.66,-6.66,-6.66,0.8,44.60413474997961,0.79,28.2,6.0,,,,,,,,,,,,,,,,
1934,minnesota,,,,,,54.9,17.93,-6.902857142857142,40.8,62.3,66.3,70.0,64.7,53.4,48.6,33.2,1.15,1.04,4.02,2.37,2.07,3.28,2.59,1.41,-6.0,-7.23,-7.08,-7.52,-7.79,-6.82,-6.11,-5.77,30.999876575630555,0.76,24.6,4.0,,,,,,,,,,,,,,,,
1934,missouri,,,,,,67.7,27.76,-2.707142857142857,55.4,68.1,79.7,85.7,80.1,65.0,60.1,47.4,2.49,2.07,2.79,1.11,3.71,7.59,2.45,5.55,-3.82,-4.52,-4.99,-6.14,-6.16,1.03,0.58,1.25,54.284369472846265,,9.3,2.7,,,,,,,,,,,,,,,,
1934,nebraska,,,,,,62.9,12.16,-7.048571428571429,50.8,68.4,73.7,81.4,75.0,58.4,55.5,39.8,0.54,1.12,3.05,1.16,1.79,2.55,0.86,1.09,-3.9,-5.85,-6.38,-7.91,-8.31,-7.22,-7.13,-6.54,17.867344919009344,0.87,6.2,1.5,,,,,,,,,,,,,,,,
1935,illinois,,,,,,60.7,31.82,0.4714285714285712,48.5,56.9,67.5,78.3,74.7,66.0,54.6,39.0,2.56,7.83,5.67,3.47,2.43,3.24,2.02,4.6,0.89,2.42,3.04,-0.11,-0.53,-0.52,-0.81,-0.19,134.63170536083524,0.64,38.5,8.0,,,,,,,,,,,,,,,,
1935,indiana,,,,,,60.2,28.5,-1.5685714285714285,48.0,56.7,67.2,76.9,74.0,65.0,53.9,40.2,2.37,6.78,4.56,3.57,3.17,2.66,1.86,3.53,-3.57,-2.01,-1.39,-1.42,-1.41,-1.44,-1.71,-1.6,91.4893237286018,0.57,38.0,8.5,,,,,,,,,,,,,,,,
1935,iowa,,,,,,57.8,27.9,0.742857142857143,45.6,54.2,65.2,78.8,72.7,64.0,49.6,32.2,1.94,4.52,6.99,3.27,2.48,3.34,2.67,2.69,-0.69,0.59,1.74,1.24,0.48,0.19,0.29,0.67,44.852922752569135,0.62,38.0,8.9,,,,,,,,,,,,,,,,
1935,minnesota,,,,,,51.3,21.99,0.8328571428571429,38.5,50.4,59.9,73.9,67.1,56.1,43.4,20.9,2.4,2.21,4.65,3.96,4.57,1.3,1.83,1.07,0.6,0.33,0.91,0.98,1.54,0.75,0.74,0.58,31.252936792574477,0.54,34.5,7.1,,,,,,,,,,,,,,,,
1935,missouri,,,,,,62.8,37.41,0.6185714285714284,51.3,60.0,69.2,80.4,77.2,67.5,56.1,40.8,2.82,8.44,9.24,3.26,2.2,3.59,3.58,4.28,1.13,2.53,3.94,-0.12,-0.65,-0.71,-0.58,-0.08,54.48521016328491,,19.0,4.5,,,,,,,,,,,,,,,,
1935,nebraska,,,,,,57.4,20.54,-2.5528571428571425,44.0,51.6,65.5,80.0,74.0,63.1,48.4,32.4,3.54,6.16,3.71,1.39,2.47,1.57,0.74,0.96,-4.97,-2.86,-2.25,-2.62,-2.56,-2.67,-2.67,-2.24,17.776844619130134,0.61,13.5,3.0,,,,,,,,,,,,,,,,
1936,illinois,,,,,,63.7,22.22,-1.7614285714285711,47.6,66.4,71.9,82.8,79.9,69.9,53.9,37.5,2.4,2.07,1.69,1.18,2.72,6.7,3.19,2.27,-1.32,-2.12,-2.94,-4.4,-5.06,0.85,0.85,0.49,135.37419135936236,1.05,24.0,5.4,,,,,,,,,,,,,,,,
1936,indiana,,,,,,62.5,23.96,-2.1471428571428572,46.3,64.6,70.9,80.5,78.2,69.5,53.3,36.9,3.05,2.06,1.3,1.57,3.19,4.83,4.46,3.5,-1.88,-2.61,-3.57,-4.91,-5.3,0.23,0.59,0.54,91.92864821229256,1.0,25.6,5.5,,,,,,,,,,,,,,,,
1936,iowa,,,,,,61.3,20.02,-3.3742857142857146,44.6,65.5,69.3,82.7,78.2,67.0,49.5,33.8,1.08,2.78,2.86,0.56,3.49,6.99,1.6,0.66,-1.05,-1.7,-2.24,-4.08,-4.67,-3.54,-3.51,-3.88,44.586364178366075,1.07,20.0,3.5,,,,,,,,,,,,,,,,
1936,minnesota,,,,,,53.2,13.56,-3.607142857142857,34.7,58.9,62.7,75.8,69.1,60.2,40.3,24.0,1.3,2.62,1.89,0.81,2.95,2.24,0.74,1.01,-0.03,-0.6,-1.65,-3.69,-4.24,-4.64,-5.0,-5.43,31.448483323849327,1.03,22.0,4.0,,,,,,,,,,,,,,,,
1936,missouri,,,,,,66.8,22.78,-2.007142857142857,52.0,68.2,76.0,84.8,83.9,72.8,55.8,40.8,2.37,2.59,1.48,1.49,0.91,8.57,3.51,1.86,-1.9,-2.62,-3.5,-4.66,-6.04,1.0,1.05,0.72,54.5282474540932,,10.5,3.0,,,,,,,,,,,,,,,,
1936,nebraska,,,,,,61.5,11.24,-5.18,45.5,63.3,71.7,82.7,78.0,66.4,48.7,35.6,1.63,3.12,1.98,0.54,1.6,1.66,0.38,0.33,-2.07,-2.48,-3.46,-5.35,-6.26,-6.3,-6.27,-6.14,17.557058176566343,1.16,5.5,1.2,,,,,,,,,,,,,,,,
1937,illinois,,,,,,61.2,26.13,-0.1357142857142857,50.3,62.7,70.7,75.0,77.0,65.3,51.8,36.9,4.83,3.2,5.11,3.13,2.48,2.35,3.56,1.47,1.38,0.89,1.27,-0.11,-0.62,-0.94,-0.53,-0.91,135.66773233552425,0.47,48.0,7.5,,,,,,,,,,,,,,,,
1937,indiana,,,,,,60.2,30.04,1.6742857142857142,49.7,61.5,69.9,73.7,75.2,63.6,50.8,37.2,5.0,3.58,4.62,3.64,3.58,3.18,4.71,1.73,1.95,1.54,1.68,1.51,1.38,1.39,2.2,2.02,92.64255049829006,0.45,45.0,8.5,,,,,,,,,,,,,,,,
1937,iowa,,,,,,59.3,21.84,-2.244285714285714,46.6,61.2,68.2,75.3,76.9,64.9,49.0,32.1,3.19,3.97,3.71,2.52,4.11,1.54,2.09,0.71,-1.6,-1.46,-1.59,-1.95,-2.03,-2.8,-2.72,-3.16,44.39088789061716,0.44,45.0,8.6,,,,,,,,,,,,,,,,
1937,minnesota,,,,,,53.2,22.4,-2.858571428571429,38.9,55.7,62.8,70.7,71.9,57.6,41.4,26.2,3.85,3.91,2.88,3.61,4.24,2.14,1.01,0.76,-3.77,-2.97,-3.16,-2.84,-2.49,-2.65,-2.8,-3.1,31.586516169455106,0.43,37.5,7.5,,,,,,,,,,,,,,,,
1937,missouri,,,,,,64.1,25.11,-1.04,53.4,65.5,73.7,77.5,79.7,68.5,55.3,39.3,3.84,3.89,4.87,4.0,2.09,2.19,2.37,1.86,-0.49,-0.77,-0.59,-0.25,-0.81,-1.33,-1.57,-1.96,54.42782710887387,,27.5,6.3,,,,,,,,,,,,,,,,
1937,nebraska,,,,,,60.2,15.01,-5.807142857142857,46.7,61.1,67.6,77.4,78.7,65.9,50.2,34.2,1.28,2.56,3.3,2.6,1.93,1.56,1.56,0.22,-5.02,-5.49,-5.42,-5.76,-6.37,-6.39,-5.64,-5.58,17.31141450546564,0.51,12.0,2.3,,,,,,,,,,,,,,,,
1938,illinois,,,,,,63.4,28.3,0.4385714285714286,53.1,61.9,69.8,76.3,76.6,67.9,59.0,42.9,3.12,5.15,5.15,4.74,3.38,3.15,1.31,2.3,0.9,1.22,1.64,1.96,0.04,-0.04,-0.72,-1.03,135.82313638172758,0.45,44.0,9.0,,,,,,,,,,,,,,,,
1938,indiana,,,,,,62.4,28.23,0.6542857142857142,52.9,61.4,68.9,74.7,74.9,67.0,56.5,43.2,2.56,5.42,5.22,5.17,3.14,2.95,0.86,2.91,1.5,1.81,2.22,2.61,-0.04,-0.07,-0.86,-1.09,92.97204386105814,0.45,41.0,8.0,,,,,,,,,,,,,,,,
1938,iowa,,,,,,60.9,31.25,1.0871428571428572,49.2,58.8,68.6,75.9,74.8,65.8,58.2,35.7,3.62,5.49,4.57,4.57,3.5,5.95,0.85,2.7,0.27,0.99,0.93,1.18,0.89,1.64,0.78,1.2,44.31980560416301,0.46,46.0,10.0,,,,,,,,,,,,,,,,
1938,minnesota,,,,,,53.9,23.69,-0.7085714285714285,41.6,51.9,63.8,69.2,70.0,58.8,50.6,25.2,3.13,6.03,3.17,3.18,2.63,3.16,0.51,1.88,0.65,2.5,-0.41,-0.5,-1.22,-1.12,-2.2,-2.01,31.667035329391805,0.43,36.5,8.0,,,,,,,,,,,,,,,,
1938,missouri,,,,,,66.1,28.49,-0.2914285714285714,55.5,64.2,71.7,79.1,80.4,70.6,62.7,44.4,3.72,6.32,4.72,3.55,2.69,1.94,1.26,4.29,0.75,1.25,1.26,1.19,-0.48,-1.2,-2.15,-1.91,54.24133218203798,,26.0,6.0,,,,,,,,,,,,,,,,
1938,nebraska,,,,,,60.8,19.64,-3.707142857142857,49.1,57.2,69.7,76.2,76.7,66.2,57.5,33.9,3.06,4.84,2.72,3.31,1.9,2.94,0.16,0.71,-4.58,-3.6,-3.84,-3.5,-3.91,-3.29,-4.06,-3.75,17.14334251997568,0.47,15.5,3.4,,,,,,,,,,,,,,,,
1939,illinois,,,,,,62.7,25.06,-0.6171428571428572,48.3,65.2,72.7,75.8,72.4,71.2,56.5,39.8,4.94,2.38,5.18,3.53,4.8,0.72,2.18,1.33,1.65,-0.76,0.32,0.23,0.82,-1.19,-1.5,-2.24,136.23754717160318,0.52,51.0,9.6,,,,,,,,,,,,,,,,
1939,indiana,,,,,,61.9,25.11,-1.1942857142857142,47.2,64.0,72.5,74.0,72.2,70.6,55.7,39.0,5.66,1.49,6.24,4.07,2.65,0.82,2.77,1.41,2.14,-1.1,-0.31,-0.2,-0.51,-1.71,-1.85,-2.68,93.43882612497956,0.52,50.0,9.4,,,,,,,,,,,,,,,,
1939,iowa,,,,,,60.9,19.64,-1.974285714285714,46.7,65.7,70.8,75.6,69.8,68.2,52.2,38.1,2.0,2.04,4.92,3.2,4.67,0.84,1.48,0.49,-0.36,-1.4,-1.25,-1.52,-1.12,-2.32,-2.7,-3.51,44.781840466114986,0.53,52.2,10.4,,,,,,,,,,,,,,,,
1939,minnesota,,,,,,54.4,18.15,-2.332857142857143,38.6,59.1,64.3,70.4,67.3,59.1,42.7,33.3,1.34,2.24,4.99,2.23,4.0,1.55,1.72,0.08,-1.62,-2.26,-1.64,-2.2,-1.87,-2.55,-2.46,-3.35,31.87408459780047,0.5,47.0,8.0,,,,,,,,,,,,,,,,
1939,missouri,,,,,,65.5,27.68,-0.2399999999999999,52.4,66.6,73.8,79.4,74.7,74.6,60.2,41.9,4.97,4.13,5.73,2.95,4.63,0.82,1.85,2.6,1.01,0.6,0.91,0.65,1.04,-1.13,-1.75,-2.0,54.2700237092435,,30.3,6.7,,,,,,,,,,,,,,,,
1939,nebraska,,,,,,61.4,12.99,-5.154285714285714,48.1,64.6,69.0,78.8,71.8,68.1,51.8,38.6,1.37,2.59,3.72,1.87,2.16,0.46,0.79,0.03,-3.45,-4.22,-4.11,-4.93,-5.04,-5.93,-5.81,-6.04,17.039913605828012,0.56,14.2,2.1,,,,,,,,,,,,,,,,
1940,illinois,,,,,,61.7,21.85,-3.575714285714285,49.6,58.9,72.3,76.1,74.0,65.5,58.6,38.2,3.95,3.38,3.02,1.57,4.24,0.6,2.23,2.86,-3.16,-2.92,-3.03,-3.63,-3.13,-3.97,-4.16,-4.19,136.49655391527543,0.61,43.0,8.5,,,,,,,,,,,,,,,,
1940,indiana,,,,,,60.7,24.08,-3.32,47.6,57.9,71.3,74.8,74.2,63.8,56.8,38.8,5.4,4.27,3.32,1.42,2.62,1.21,2.34,3.5,-2.58,-2.09,-2.19,-3.04,-3.42,-4.0,-4.23,-4.27,94.26255953189975,0.63,37.0,7.0,,,,,,,,,,,,,,,,
1940,iowa,,,,,,59.2,25.52,-3.1342857142857143,46.4,57.6,70.6,76.1,69.7,64.9,56.5,31.6,3.15,2.02,3.67,4.56,6.42,0.87,2.32,2.51,-3.85,-4.11,-4.13,-3.58,-2.18,-2.87,-2.82,-2.25,45.08394018354513,0.57,52.5,10.0,,,,,,,,,,,,,,,,
1940,minnesota,,,,,,52.9,21.54,-2.532857142857143,38.8,52.6,62.9,70.3,64.9,60.8,49.3,23.4,2.72,1.88,3.35,3.13,4.08,1.19,2.69,2.5,-3.74,-3.9,-3.83,-3.76,-3.05,-3.85,0.03,0.63,32.092636603342946,0.53,41.0,8.0,,,,,,,,,,,,,,,,
1940,missouri,,,,,,63.8,24.74,-2.5785714285714287,52.9,62.0,72.9,77.2,74.7,67.9,61.8,40.6,4.39,2.45,4.5,1.64,5.9,0.74,1.72,3.4,-2.2,-2.62,-2.35,-2.75,-1.72,-2.52,-3.12,-2.97,54.31306100005178,,31.0,6.9,,,,,,,,,,,,,,,,
1940,nebraska,,,,,,60.3,13.59,-6.088571428571428,46.7,58.8,70.6,78.9,71.7,67.7,56.5,31.5,2.39,0.97,2.94,1.68,1.95,1.16,1.48,1.02,-4.23,-5.28,-5.55,-6.39,-6.52,-6.84,-6.41,-5.63,17.014056377291098,0.58,20.5,2.0,,,,,,,,,,,,,,,,
1941,illinois,,,,,,64.3,33.73,-1.2342857142857144,55.8,66.0,72.5,76.2,75.3,69.1,57.6,42.2,3.81,3.17,4.34,2.83,2.73,5.15,9.06,2.64,-3.91,-4.03,-3.56,-3.57,-3.69,0.49,2.79,2.93,138.05059437730893,0.74,53.0,10.5,,,,,,,,,,,,,,,,
1941,indiana,,,,,,63.6,26.77,-3.2157142857142857,55.6,64.3,71.4,75.4,73.5,69.4,57.4,42.0,2.65,2.21,5.32,2.55,2.31,2.14,6.69,2.9,-5.21,-5.52,-4.54,-4.69,-4.91,-5.15,1.17,1.13,95.6354485434334,0.76,45.0,8.5,,,,,,,,,,,,,,,,
1941,iowa,,,,,,61.6,31.1,-0.0642857142857141,52.7,65.4,69.3,74.5,74.1,65.4,53.1,38.2,2.52,3.16,6.14,2.21,2.0,7.43,5.81,1.83,-1.56,-1.99,-1.16,-1.62,-2.37,1.19,2.7,2.8,44.26649388932239,0.72,51.0,10.0,,,,,,,,,,,,,,,,
1941,minnesota,,,,,,55.4,26.15,1.092857142857143,47.1,59.1,64.8,70.6,67.0,58.2,46.0,30.5,3.03,3.42,4.92,2.24,4.06,5.17,2.82,0.49,0.72,0.53,0.91,0.18,0.4,1.58,2.15,1.9,31.26443952970829,0.65,45.0,8.5,,,,,,,,,,,,,,,,
1941,missouri,,,,,,66.5,36.16,-0.9399999999999996,58.0,68.1,73.4,78.8,78.5,70.7,60.5,43.9,4.5,2.32,4.32,2.95,3.17,6.18,10.4,2.32,-2.54,-3.28,-3.09,-3.12,-3.22,0.51,2.87,2.75,54.6717050901208,,29.5,6.8,,,,,,,,,,,,,,,,
1941,nebraska,,,,,,60.2,21.38,-1.1971428571428575,49.3,63.5,67.5,74.8,73.9,63.7,50.7,38.5,3.56,2.29,4.74,2.6,1.54,4.08,2.01,0.56,-2.95,-3.57,-2.74,-2.65,-3.15,1.03,1.53,1.17,16.44519734947893,0.67,24.0,4.3,,,,,,,,,,,,,,,,
1942,illinois,,,,,,62.4,30.69,1.9628571428571429,55.5,61.9,71.6,75.9,72.3,64.4,54.8,42.9,2.52,4.25,5.53,4.79,3.46,3.13,1.95,5.06,1.37,1.32,1.79,2.13,2.18,2.11,1.72,2.49,139.12115558448755,0.9,54.0,10.0,,,,,,,,,,,,,,,,
1942,indiana,,,,,,62.1,29.72,0.8285714285714285,54.6,62.5,71.3,75.2,71.6,64.0,54.2,43.3,2.87,3.94,5.6,4.24,3.8,2.79,1.77,4.71,0.3,0.14,0.75,0.87,1.14,1.07,0.67,1.16,96.29443526896954,0.91,54.0,9.5,,,,,,,,,,,,,,,,
1942,iowa,,,,,,59.3,27.23,1.9171428571428577,53.6,58.5,69.0,73.6,71.3,60.2,51.6,36.9,1.07,4.67,5.89,5.08,3.22,4.09,1.48,1.73,1.15,1.36,1.78,2.28,2.0,2.26,1.87,1.87,43.34242416541843,0.86,60.0,10.5,,,,,,,,,,,,,,,,
1942,minnesota,,,,,,52.6,24.42,2.705714285714286,47.4,51.6,62.1,66.8,66.0,53.3,45.6,27.7,2.04,4.93,3.53,3.36,4.99,3.95,1.07,0.55,1.39,2.54,2.18,2.11,2.83,3.52,3.07,2.69,30.62028625021467,0.79,46.0,8.5,,,,,,,,,,,,,,,,
1942,missouri,,,,,,64.5,35.26,2.084285714285714,58.0,63.0,72.7,78.1,74.4,66.5,56.9,46.4,3.82,5.18,7.89,2.73,4.27,4.18,3.06,4.13,1.45,1.54,2.48,2.03,2.16,2.17,1.97,2.24,54.92992883497049,,36.0,6.5,,,,,,,,,,,,,,,,
1942,nebraska,,,,,,58.8,21.59,2.0057142857142862,52.1,56.2,66.9,75.3,72.4,59.5,51.1,37.1,3.12,4.6,4.95,1.61,2.32,3.72,0.83,0.44,1.76,2.5,3.17,2.72,2.55,3.46,-0.08,-0.28,16.01855307861981,0.82,32.0,4.7,,,,,,,,,,,,,,,,
1943,illinois,,,,,,61.3,28.44,-0.3785714285714285,50.0,60.6,74.2,76.8,75.9,62.4,53.5,37.0,3.69,8.72,3.87,2.94,2.98,2.35,2.1,1.79,1.42,3.04,-0.17,-0.5,-0.84,-1.07,-1.31,-1.8,134.01008917602184,1.06,50.0,9.5,,,,,,,,,,,,,,,,
1943,indiana,,,,,,60.7,28.9,-0.3914285714285714,48.2,61.4,74.8,75.4,74.1,61.9,52.4,37.7,3.1,8.62,3.43,4.42,2.62,3.12,1.56,2.03,0.38,1.98,-0.46,-0.28,-0.74,-0.57,-1.05,-1.62,94.70188401559052,1.07,49.0,8.0,,,,,,,,,,,,,,,,
1943,iowa,,,,,,58.0,27.48,1.9228571428571428,47.7,56.8,70.8,74.7,72.9,59.0,50.3,31.9,2.6,4.35,6.01,4.55,5.06,2.22,1.63,1.06,1.32,1.56,1.91,2.12,2.48,2.1,1.77,1.52,41.47651414599697,0.99,55.0,10.8,,,,,,,,,,,,,,,,
1943,minnesota,,,,,,52.6,23.62,2.792857142857143,41.3,51.4,64.4,71.0,67.2,54.0,45.9,25.5,1.23,4.34,5.63,3.65,4.09,1.82,1.66,1.2,2.05,2.81,3.39,3.18,3.25,2.64,2.26,2.02,29.64255359384042,0.99,42.5,8.2,,,,,,,,,,,,,,,,
1943,missouri,,,,,,64.0,32.33,0.2371428571428571,54.7,63.0,75.1,78.9,79.0,64.8,55.1,41.0,2.96,9.9,6.58,2.55,2.58,3.63,3.23,0.9,0.72,2.51,2.83,-0.3,-0.76,-0.71,-0.63,-1.28,53.15105414822817,,31.5,6.0,,,,,,,,,,,,,,,,
1943,nebraska,,,,,,59.4,15.98,-1.4600000000000002,51.8,55.1,68.1,76.3,76.2,61.6,50.5,35.4,2.12,2.18,4.43,2.99,1.81,0.89,1.28,0.28,-0.9,-1.27,-0.83,-0.79,-1.42,-1.99,-1.83,-2.09,16.044410307156724,1.03,27.0,4.5,,,,,,,,,,,,,,,,
1944,illinois,,,,,,63.1,24.74,-1.6828571428571428,49.0,66.8,75.1,75.3,74.4,66.7,54.7,42.8,6.44,4.26,2.43,1.85,3.73,2.94,1.21,1.88,1.82,-0.16,-0.93,-1.69,-1.66,-1.81,-2.43,-3.1,133.28487029373954,1.05,45.4,8.5,,,,,,,,,,,,,,,,
1944,indiana,,,,,,62.7,23.72,-2.8814285714285712,49.3,67.0,74.6,75.2,74.0,65.8,53.2,42.3,6.03,4.31,1.83,1.61,3.93,2.36,1.17,2.48,-0.89,-1.03,-2.03,-3.02,-2.86,-3.11,-3.76,-4.36,94.45476399351446,1.08,40.1,6.5,,,,,,,,,,,,,,,,
1944,iowa,,,,,,59.5,30.75,2.7542857142857144,43.8,63.8,71.0,72.0,70.9,63.2,52.3,38.6,4.42,6.22,5.72,3.73,5.73,2.25,1.01,1.67,2.41,2.93,3.01,2.88,3.49,2.92,2.16,1.89,40.890085282750235,0.98,52.5,9.5,,,,,,,,,,,,,,,,
1944,minnesota,,,,,,53.8,27.25,3.158571428571429,38.6,57.0,64.6,67.2,66.3,56.9,46.6,32.8,1.75,5.09,6.54,4.27,5.35,2.06,0.36,1.83,0.92,1.83,2.99,3.37,4.3,3.8,2.8,3.02,29.055914000015875,0.9,43.7,7.6,,,,,,,,,,,,,,,,
1944,missouri,,,,,,64.8,29.89,-0.53,50.8,67.6,75.6,77.0,75.1,68.2,58.4,45.5,6.58,4.44,2.68,2.65,6.64,2.8,1.72,2.38,1.85,-0.25,-0.9,-1.21,1.01,-0.26,-0.86,-1.24,51.07091842582788,,33.5,6.0,,,,,,,,,,,,,,,,
1944,nebraska,,,,,,58.6,23.16,3.1457142857142855,42.6,62.0,68.0,72.6,72.6,62.4,52.3,36.2,4.46,3.95,4.51,3.82,3.23,0.86,0.79,1.54,2.23,2.33,2.73,3.56,4.19,3.36,2.76,3.09,15.721194950445268,0.97,33.3,6.2,,,,,,,,,,,,,,,,
1945,illinois,,,,,,60.3,33.97,2.564285714285714,52.6,57.1,67.5,73.0,73.1,66.0,52.4,40.8,5.24,5.37,6.65,1.46,3.42,7.57,1.66,2.6,1.4,1.98,3.02,2.0,1.79,3.29,2.91,2.96,131.24735057685118,1.21,46.5,8.0,,,,,,,,,,,,,,,,
1945,indiana,,,,,,60.2,34.36,2.7914285714285714,52.4,56.5,67.9,72.2,71.7,67.0,51.6,42.0,4.22,4.61,6.55,3.37,3.43,6.34,2.49,3.35,1.38,1.64,2.67,2.36,2.27,3.43,3.46,3.71,94.09781285051572,1.22,53.0,9.0,,,,,,,,,,,,,,,,
