year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october
1910,nebraska,,,,,,51.9,54.3,68.5,74.4,69.4,63.8,54.4,36.3,0.7,2.72,2.67,1.82,4.15,2.11,0.63,0.15,-1.82,-1.73,-2.04,-2.42,-1.21,-1.12,-1.6,-1.97,15.48847989361302,0.44,26.0,,,,,,,,,,,,,,,
1911,illinois,,,,,,49.0,67.5,75.3,75.8,72.5,68.8,52.9,34.6,4.83,1.9,2.66,2.35,4.12,8.96,2.82,2.95,-0.63,-1.62,-2.32,-2.91,0.06,2.0,2.1,2.51,99.40678822140931,0.64,36.0,,,,,,,,,,,,,,,
1911,indiana,,,,,,48.2,66.7,72.4,74.2,72.4,68.3,52.7,35.4,5.16,2.53,3.73,1.83,3.24,6.05,4.14,3.4,0.68,-0.86,-1.08,-1.96,-2.09,0.95,1.46,1.81,75.5363534145809,0.62,34.5,,,,,,,,,,,,,,,
1911,iowa,,,,,,45.9,64.5,75.0,75.0,70.9,64.8,47.6,28.2,3.06,3.92,1.91,2.4,3.48,5.0,3.42,1.43,-4.16,-3.97,-4.96,-5.34,-5.23,0.19,0.72,0.58,39.96601555884627,0.6,35.5,,,,,,,,,,,,,,,
1911,minnesota,,,,,,41.1,58.0,68.5,67.2,62.8,55.1,41.6,17.9,1.81,3.24,3.76,3.52,4.05,3.28,3.1,1.18,-7.68,-7.16,-7.11,-6.57,0.37,0.59,1.36,1.39,24.3742999865533,0.53,33.0,,,,,,,,,,,,,,,
1911,missouri,,,,,,53.0,68.4,78.5,77.7,75.2,73.1,55.9,37.8,4.93,1.44,1.8,3.62,4.33,6.69,3.06,2.61,-0.12,-1.43,-2.52,-2.67,0.01,0.52,0.43,0.37,47.58489787035705,,26.0,,,,,,,,,,,,,,,
1911,nebraska,,,,,,46.5,60.2,74.0,73.4,69.5,66.1,46.2,30.1,2.88,2.26,1.67,2.73,3.42,2.01,3.18,0.26,-2.02,-2.68,-3.98,-4.13,0.31,-0.35,1.38,0.99,15.721194950445268,0.62,21.5,,,,,,,,,,,,,,,
1912,illinois,,,,,,52.6,64.3,67.8,75.3,71.7,67.0,55.1,41.1,4.86,3.86,3.1,4.31,3.74,2.73,3.37,1.9,2.16,1.76,1.42,1.58,1.69,-0.19,0.24,-0.23,100.6327534747913,0.52,40.0,,,,,,,,,,,,,,,
1912,indiana,,,,,,52.3,63.3,67.3,74.1,70.4,66.9,53.7,40.6,4.85,4.39,2.82,5.18,5.45,3.36,1.99,1.97,2.04,1.82,1.33,1.77,2.73,2.7,2.39,2.02,76.46991794242378,0.51,39.5,,,,,,,,,,,,,,,
1912,iowa,,,,,,49.0,62.0,65.8,74.1,70.2,61.3,51.1,38.5,2.61,3.17,2.66,3.76,3.85,3.99,3.06,0.97,-0.11,-0.5,-1.04,-1.0,-0.93,-0.65,-0.21,-0.49,40.4991327072524,0.44,46.0,,,,,,,,,,,,,,,
1912,minnesota,,,,,,43.6,54.5,61.2,67.5,62.2,55.4,45.5,31.7,2.03,4.03,1.76,4.26,3.87,3.13,0.91,0.33,-0.74,-0.1,-1.08,0.41,0.83,1.06,-0.45,-1.06,24.69637662630011,0.4,34.0,,,,,,,,,,,,,,,
1912,missouri,,,,,,55.0,67.0,69.0,78.4,75.6,68.0,57.9,44.0,5.92,3.77,4.77,2.87,4.2,3.21,3.73,1.6,2.05,-0.45,0.26,0.07,0.33,-0.15,0.0,-0.42,47.972233487631584,,32.0,,,,,,,,,,,,,,,
1912,nebraska,,,,,,47.9,59.7,64.5,73.8,70.2,57.8,50.1,39.4,2.2,1.75,2.13,3.54,3.33,2.53,1.56,0.5,2.44,1.56,0.95,1.35,1.89,2.25,2.32,-0.27,15.9280527787406,0.49,27.0,,,,,,,,,,,,,,,
1913,illinois,,,,,,51.3,62.4,73.4,77.8,77.4,66.2,52.3,46.4,2.81,3.06,2.56,2.11,2.35,2.96,3.76,3.1,-0.32,-0.66,-1.26,-2.0,-2.72,-2.79,-2.28,-2.37,102.92927993535191,0.66,28.0,,,,,,,,,,,,,,,
1913,indiana,,,,,,50.1,61.7,72.3,76.7,75.1,65.1,52.9,45.4,3.22,2.88,2.13,3.38,3.31,2.64,3.44,3.64,-0.18,-0.64,-1.46,-1.82,-2.05,-2.19,-1.92,-1.95,77.54077137142,0.64,35.5,,,,,,,,,,,,,,,
1913,iowa,,,,,,49.3,58.8,71.0,75.7,75.8,63.5,48.2,42.3,3.17,6.32,3.31,1.86,2.76,3.37,3.01,1.17,0.56,1.59,-0.6,-1.45,-2.19,-2.34,-1.9,-2.43,40.961167569204385,0.61,37.5,,,,,,,,,,,,,,,
1913,minnesota,,,,,,44.8,51.1,66.1,66.0,67.7,56.8,40.7,34.5,1.9,3.57,3.17,5.53,2.95,3.3,2.57,0.69,-1.72,0.54,-0.56,1.31,0.95,1.22,1.85,1.59,25.19099432305414,0.54,38.0,,,,,,,,,,,,,,,
1913,missouri,,,,,,54.9,65.4,75.0,79.8,82.1,68.5,53.7,49.9,3.34,2.63,2.62,3.1,1.1,4.62,4.61,2.66,-0.16,-0.89,-1.51,-1.83,-3.12,-2.81,-2.09,-2.22,48.90470812181102,,17.5,,,,,,,,,,,,,,,
1913,nebraska,,,,,,49.6,58.5,69.9,74.7,76.5,62.2,46.3,41.5,2.78,3.6,2.53,2.51,1.49,2.08,0.55,0.67,0.73,0.87,-0.53,-0.56,-1.34,-1.25,-1.44,-1.7,16.109053378499016,0.64,15.0,,,,,,,,,,,,,,,
1914,illinois,,,,,,51.7,64.4,75.0,78.4,75.1,65.6,56.9,43.3,2.21,2.27,2.61,1.54,3.39,3.9,3.09,0.64,-2.74,-3.22,-3.69,-4.55,-4.52,-4.02,-3.79,-4.69,105.48481313958476,0.68,31.0,,,,,,,,,,,,,,,
1914,indiana,,,,,,50.4,63.3,73.8,76.8,73.6,64.9,56.2,41.9,3.03,2.6,2.27,1.86,4.75,2.54,2.46,1.03,-2.03,-2.48,-3.16,-4.06,-3.41,-3.48,-3.66,-4.71,78.44687811903222,0.67,33.0,,,,,,,,,,,,,,,
1914,iowa,,,,,,48.0,61.7,71.7,76.2,72.9,63.6,54.9,39.4,2.49,3.31,5.69,2.28,2.19,7.47,3.25,0.21,-2.51,-2.57,-1.98,-2.4,-2.97,1.29,1.62,1.01,41.54759643245113,0.64,40.5,,,,,,,,,,,,,,,
1914,minnesota,,,,,,39.2,56.3,63.5,71.2,64.4,58.0,50.3,30.3,2.18,2.95,7.32,2.65,3.88,3.15,2.02,0.47,1.24,0.92,2.63,-0.44,0.33,0.48,-0.12,-0.64,25.69711475694199,0.59,35.0,,,,,,,,,,,,,,,
1914,missouri,,,,,,54.0,66.0,78.8,80.2,77.3,68.8,58.0,47.0,3.12,1.4,2.19,2.56,4.09,6.15,4.52,0.71,-1.53,-2.58,-3.42,-4.0,-3.81,0.49,0.81,-0.78,49.73676241077114,,22.0,,,,,,,,,,,,,,,
1914,nebraska,,,,,,48.0,59.4,71.3,75.9,72.4,64.3,52.7,40.7,2.44,2.63,4.41,1.8,2.81,1.96,1.47,0.01,-0.28,-0.71,-0.5,-1.09,-0.99,-1.1,-0.99,-1.74,16.341768435331264,0.61,24.5,,,,,,,,,,,,,,,
1915,illinois,,,,,,57.9,59.1,67.8,72.2,66.9,67.5,55.6,44.0,1.38,6.93,4.75,6.73,6.1,4.34,0.83,2.42,-5.21,1.02,1.4,2.74,4.12,4.38,3.5,3.26,106.95251802039418,0.66,38.0,,,,,,,,,,,,,,,
1915,indiana,,,,,,55.8,58.6,67.6,72.0,66.7,67.1,55.0,43.8,1.53,5.78,3.27,6.45,6.26,3.71,1.46,2.75,-5.23,0.57,0.37,1.59,3.22,3.37,2.9,2.84,78.88620260272299,0.65,38.5,,,,,,,,,,,,,,,
1915,iowa,,,,,,56.2,55.6,64.5,69.0,65.2,62.8,53.2,38.7,1.32,7.35,4.1,8.06,2.82,6.08,1.28,1.9,0.77,2.29,2.13,4.05,3.71,4.56,3.86,3.78,42.045172437630185,0.63,32.5,,,,,,,,,,,,,,,
1915,minnesota,,,,,,50.6,50.2,58.1,63.5,62.7,56.6,46.4,29.3,1.59,4.06,6.72,3.73,1.84,2.79,2.07,1.82,-1.28,0.86,2.64,2.94,2.09,1.96,1.86,2.14,26.14572150516076,0.64,23.0,,,,,,,,,,,,,,,
1915,missouri,,,,,,60.3,63.0,70.2,74.3,69.3,69.7,58.4,48.0,2.11,7.59,6.62,5.61,7.89,5.24,1.24,2.83,-1.31,0.94,1.65,2.47,4.3,4.61,3.7,3.44,50.09540650084016,,29.5,,,,,,,,,,,,,,,
1915,nebraska,,,,,,53.6,54.6,63.1,68.5,66.2,61.4,53.2,39.4,3.56,5.11,5.65,5.95,3.93,3.79,1.31,0.54,2.15,3.24,4.38,6.31,7.43,8.26,7.78,7.12,16.44519734947893,0.58,31.0,,,,,,,,,,,,,,,
1916,illinois,,,,,,49.8,62.6,66.3,80.4,76.1,64.2,54.0,42.4,1.66,4.69,5.36,1.19,4.29,2.93,2.95,1.94,-1.32,-0.98,-0.08,-1.25,-1.06,-1.12,-1.04,-1.52,108.33388731997952,1.11,31.0,,,,,,,,,,,,,,,
1916,indiana,,,,,,49.0,62.7,66.1,78.7,75.0,64.2,53.1,42.5,2.26,4.51,6.65,2.37,3.22,2.91,2.17,1.83,-1.1,0.07,1.39,-0.77,-1.0,-1.01,-1.27,-1.99,79.54518932825913,1.08,32.5,,,,,,,,,,,,,,,
1916,iowa,,,,,,46.4,59.2,64.0,79.3,73.4,61.7,49.9,36.0,2.49,4.75,3.71,1.76,2.68,3.85,2.13,1.54,-0.21,0.41,-0.06,-1.05,-1.71,-1.61,-1.58,-1.77,42.22287815376555,1.15,38.0,,,,,,,,,,,,,,,
1916,minnesota,,,,,,39.1,51.8,59.0,74.4,66.6,54.8,41.3,28.4,2.69,3.96,4.83,2.75,4.11,3.0,1.33,0.31,3.23,3.62,4.04,3.07,3.05,2.96,2.57,1.69,26.548317304844275,0.99,33.0,,,,,,,,,,,,,,,
1916,missouri,,,,,,52.4,65.2,69.6,81.0,78.8,67.0,57.2,45.2,3.24,5.45,5.81,1.26,3.72,2.9,1.98,2.45,-0.71,0.23,0.77,-0.88,-1.03,-1.31,-1.79,-2.2,50.59750822693678,,19.5,,,,,,,,,,,,,,,
1916,nebraska,,,,,,46.2,57.4,64.0,78.4,72.0,61.5,48.6,34.7,1.52,3.51,3.21,2.01,3.44,1.45,1.07,0.6,5.15,5.04,4.73,4.21,4.43,3.74,3.35,2.92,16.483983192284306,1.15,27.0,,,,,,,,,,,,,,,
1917,illinois,,,,,,48.8,55.8,67.9,74.6,71.1,64.1,45.5,41.5,4.61,4.21,5.37,2.97,2.65,2.6,2.89,0.6,0.51,0.82,1.46,-0.16,-0.3,-0.43,-0.02,-0.75,109.00730485352736,1.3,40.0,,,,,,,,,,,,,,,
1917,indiana,,,,,,48.8,54.8,67.4,73.0,70.9,63.5,45.5,40.2,4.17,4.85,5.45,3.27,2.6,1.78,4.6,0.52,0.4,0.94,1.61,-0.11,-0.33,-0.76,1.0,-0.59,79.90214047125788,1.35,35.5,,,,,,,,,,,,,,,
1917,iowa,,,,,,44.8,54.7,65.6,74.0,68.6,61.8,41.8,39.5,4.39,3.91,6.57,2.36,2.36,2.87,1.34,0.27,0.92,1.13,2.03,-0.5,-0.95,-1.15,-1.19,-2.02,42.329501583446785,1.3,38.5,,,,,,,,,,,,,,,
1917,minnesota,,,,,,37.6,50.6,59.4,69.5,63.2,55.6,34.2,33.6,2.17,1.47,2.88,3.12,2.2,2.22,1.79,0.17,2.04,-0.65,-0.95,-1.14,-1.68,-1.88,-1.41,-2.18,26.789874784654383,1.27,27.0,,,,,,,,,,,,,,,
1917,missouri,,,,,,52.3,58.5,70.7,77.3,72.8,67.1,49.2,44.5,5.85,4.4,3.96,3.25,4.56,2.9,1.15,1.16,-1.94,-1.55,-1.45,-1.29,-0.66,-0.78,-1.15,-1.77,49.77979970157942,,33.5,,,,,,,,,,,,,,,
1917,nebraska,,,,,,44.0,52.1,65.9,75.4,68.5,63.0,44.1,42.4,3.16,4.8,3.05,1.27,2.32,2.64,0.35,0.49,2.35,3.36,0.03,-0.4,0.06,0.39,-0.31,-0.78,16.61326933496889,1.37,27.0,,,,,,,,,,,,,,,
1918,illinois,,,,,,46.7,66.2,71.5,73.2,77.8,58.9,56.7,41.1,5.29,5.22,3.52,2.58,3.83,3.88,3.16,2.24,0.86,0.98,0.71,0.32,0.19,0.65,0.72,0.52,108.35115443622432,1.42,36.5,,,,,,,,,,,,,,,
1918,indiana,,,,,,47.8,66.5,70.2,71.6,77.1,58.0,56.2,41.2,4.29,4.7,3.38,2.98,3.21,4.25,2.87,2.28,-1.16,-1.1,-1.22,-1.33,-1.57,0.75,0.71,0.42,79.0784070643377,1.44,35.0,,,,,,,,,,,,,,,
1918,iowa,,,,,,44.0,64.3,70.2,72.5,75.0,57.5,53.9,38.1,2.3,6.85,5.2,3.31,3.59,1.84,3.6,2.03,-3.32,0.94,1.06,0.92,0.64,0.15,0.57,0.64,41.77861386342712,1.4,37.0,,,,,,,,,,,,,,,
1918,minnesota,,,,,,40.2,54.7,63.1,66.7,66.8,50.7,45.8,32.2,1.91,4.3,1.9,3.24,3.89,1.08,2.42,2.12,-3.34,-2.29,-3.1,-2.91,-2.51,-2.91,0.11,0.53,26.352770773569425,1.25,37.0,,,,,,,,,,,,,,,
1918,missouri,,,,,,50.2,68.3,76.6,76.6,81.2,61.5,59.8,43.4,5.27,5.42,3.29,1.75,3.38,4.64,3.4,3.19,-2.57,-2.26,-2.55,-2.96,-3.22,-2.55,-2.37,-2.1,47.69966397917913,,20.0,,,,,,,,,,,,,,,
1918,nebraska,,,,,,42.4,61.2,72.5,73.6,73.9,58.2,53.3,36.0,2.31,4.11,1.87,3.39,2.43,1.72,2.52,1.09,-1.27,-1.1,-2.19,-1.95,-2.1,-1.99,0.65,0.78,16.367625663868182,1.45,18.0,,,,,,,,,,,,,,,
1919,illinois,,,,,,52.1,58.9,74.2,78.0,72.6,68.8,56.8,38.4,2.42,5.19,4.63,1.86,2.86,3.61,6.91,3.35,-0.74,0.57,0.64,-0.77,-1.04,-1.05,1.39,1.84,110.37140703686788,1.47,36.0,7.2,,,,,,,,,,,,,,
1919,indiana,,,,,,50.8,58.5,74.4,77.0,71.6,68.2,58.7,40.0,2.98,4.63,3.7,1.96,2.52,2.43,8.17,3.65,-0.39,-0.03,-0.35,-1.28,-1.74,-2.16,1.7,2.14,79.79230935033519,1.44,35.6,6.9,,,,,,,,,,,,,,
1919,iowa,,,,,,47.6,57.4,71.3,76.8,70.6,66.4,49.5,32.0,4.79,3.07,5.85,2.74,2.63,5.3,3.17,3.41,2.2,1.78,2.02,1.35,0.72,1.08,1.48,2.37,42.276189868606174,1.34,41.6,7.8,,,,,,,,,,,,,,
1919,minnesota,,,,,,41.6,54.7,66.6,70.3,65.5,58.6,37.9,20.3,2.33,2.37,5.25,4.76,3.4,1.94,1.86,2.28,1.37,0.81,1.19,1.84,1.82,1.23,1.47,2.2,26.98542131592923,1.3,35.5,7.8,,,,,,,,,,,,,,
1919,missouri,,,,,,54.6,61.6,74.5,78.9,75.3,70.6,58.0,41.5,3.04,5.68,5.77,2.29,4.14,3.21,7.32,3.65,-1.94,0.49,0.79,0.31,0.49,0.16,1.49,2.02,48.35956910490612,,26.5,5.0,,,,,,,,,,,,,,
1919,nebraska,,,,,,45.9,56.8,69.0,76.7,72.1,66.5,44.5,29.0,2.93,2.45,4.63,2.77,1.36,2.62,1.83,2.54,2.0,1.64,2.05,2.13,1.39,1.42,1.91,3.14,16.67791240631118,1.32,24.0,4.9,,,,,,,,,,,,,,
1920,illinois,,,,,,45.9,60.3,71.3,73.8,71.4,68.5,59.2,38.5,4.49,4.79,2.08,2.53,2.91,2.72,2.06,1.12,1.35,1.57,-0.73,-1.13,-1.28,-1.59,-2.05,-2.88,115.05079553921318,0.58,35.0,6.8,,,,,,,,,,,,,,
1920,indiana,,,,,,45.8,59.6,70.0,72.0,70.4,67.5,58.6,39.5,5.71,3.52,3.13,3.79,3.1,2.67,2.16,2.12,1.12,-0.14,-0.44,-0.32,-0.33,-0.58,-1.04,-1.57,80.91807833979277,0.57,39.5,7.4,,,,,,,,,,,,,,
1920,iowa,,,,,,41.4,58.7,70.0,71.6,68.4,65.4,56.5,33.8,4.4,3.3,3.35,3.97,3.4,3.23,2.11,2.22,2.61,-0.16,-0.67,-0.41,-0.41,-0.57,-0.82,-0.59,42.64937187249046,0.47,46.0,8.7,,,,,,,,,,,,,,
1920,minnesota,,,,,,33.7,54.2,63.7,66.6,65.6,60.5,50.7,27.4,1.73,3.11,5.69,3.12,1.94,2.86,1.83,1.18,2.27,2.09,2.82,2.6,-0.75,-0.85,-1.16,-1.33,27.64107733255667,0.47,33.5,7.8,,,,,,,,,,,,,,
1920,missouri,,,,,,49.8,63.6,72.1,76.1,72.5,69.5,60.3,40.1,3.64,5.19,2.19,3.32,4.69,4.78,3.27,1.05,0.86,0.99,0.21,0.09,0.55,0.74,-0.06,-0.58,48.83297930379722,,31.5,5.6,,,,,,,,,,,,,,
1920,nebraska,,,,,,39.0,57.0,67.6,73.5,68.6,63.8,54.0,32.9,5.25,3.48,3.2,2.68,3.64,1.11,2.04,1.09,4.49,4.47,4.03,4.0,4.66,3.77,3.83,3.82,16.807198548995764,0.38,33.2,6.4,,,,,,,,,,,,,,
1921,illinois,,,,,,54.2,64.2,75.6,79.6,73.0,70.3,54.3,40.6,4.73,2.09,3.83,1.9,5.22,6.58,2.34,3.64,-2.18,-2.77,-2.85,-3.63,0.52,1.44,1.19,1.41,118.41788320695242,0.47,35.0,7.3,,,,,,,,,,,,,,
1921,indiana,,,,,,54.3,63.5,75.4,79.5,71.9,70.3,53.3,42.2,4.15,2.32,3.33,2.14,5.6,5.43,2.85,5.73,-0.75,-1.44,-1.91,-2.92,0.74,1.31,1.21,2.0,81.71435396648228,0.48,36.0,7.0,,,,,,,,,,,,,,
1921,iowa,,,,,,51.5,62.6,74.0,77.3,71.3,66.2,53.3,31.9,3.37,4.3,3.63,2.59,5.02,6.69,1.96,0.58,-0.75,-0.64,-1.2,-1.78,0.28,1.19,-0.08,-0.36,42.77376587378523,0.41,43.0,8.5,,,,,,,,,,,,,,
1921,minnesota,,,,,,45.0,55.7,68.9,73.0,66.1,58.7,46.5,21.2,1.81,3.46,2.69,3.79,2.36,4.28,0.64,0.82,-1.65,-1.33,-2.2,-2.17,-2.72,-1.89,-2.47,-2.85,27.99766218370492,0.41,38.5,7.9,,,,,,,,,,,,,,
1921,missouri,,,,,,55.2,65.7,76.0,80.0,76.4,73.0,56.6,44.2,5.37,3.52,5.71,2.4,5.49,6.88,2.18,2.89,0.93,0.37,0.59,0.1,0.68,1.4,1.06,1.08,49.19162339386624,,30.5,5.7,,,,,,,,,,,,,,
1921,nebraska,,,,,,48.4,59.5,71.6,75.5,72.2,64.7,53.7,35.0,1.85,3.74,2.36,3.89,2.6,2.08,1.21,0.34,-0.67,-0.47,-1.21,-0.65,-0.54,-0.58,-0.69,-0.96,16.923556077411888,0.37,27.0,5.8,,,,,,,,,,,,,,
1922,illinois,,,,,,52.6,65.5,73.2,74.2,74.0,69.1,57.1,43.1,5.07,3.55,1.48,3.68,1.78,1.94,2.3,2.74,2.6,-0.35,-1.4,-1.39,-2.16,-2.8,-3.05,-3.39,120.14459483143408,0.69,35.5,7.2,,,,,,,,,,,,,,
1922,indiana,,,,,,52.8,65.2,72.2,73.2,72.6,69.3,56.0,42.9,5.9,3.61,1.89,3.51,2.07,1.8,2.87,2.17,3.08,-0.39,-1.32,-1.45,-2.12,-2.82,-2.91,-3.57,81.41231838394488,0.69,36.0,6.4,,,,,,,,,,,,,,
1922,iowa,,,,,,48.7,62.7,71.5,70.9,72.9,66.0,54.8,40.6,3.01,3.47,1.77,6.38,2.85,2.08,1.73,3.61,0.51,-0.31,-1.53,1.04,-0.45,-1.15,-1.56,-1.03,43.14694787766952,0.64,45.0,9.1,,,,,,,,,,,,,,
1922,minnesota,,,,,,41.4,59.0,65.5,66.2,68.6,60.4,47.4,33.8,1.9,3.02,3.0,2.42,1.97,1.98,1.07,3.23,-2.02,-2.16,-2.6,-2.9,-3.78,-4.23,-4.69,-3.58,28.19320871497977,0.6,29.5,7.3,,,,,,,,,,,,,,
1922,missouri,,,,,,56.0,66.3,75.6,76.3,76.6,70.6,58.7,46.1,6.43,3.1,1.61,5.56,2.28,3.04,1.87,3.71,2.6,-0.64,-1.61,-0.94,-1.47,-1.81,-2.35,-2.33,49.30638950268832,,28.5,6.4,,,,,,,,,,,,,,
1922,nebraska,,,,,,47.5,59.1,71.1,71.5,75.1,66.9,52.8,37.4,2.83,2.85,2.47,4.51,1.78,0.75,0.59,2.53,-1.07,-1.37,-2.09,-1.13,-1.7,-2.58,-2.93,1.08,16.962341920217263,0.62,24.0,5.7,,,,,,,,,,,,,,
1923,illinois,,,,,,50.0,60.2,72.4,76.3,73.0,65.4,50.4,41.8,2.36,4.35,3.48,2.2,4.75,4.05,3.71,1.77,-2.59,-2.12,-2.14,-2.54,0.46,0.7,1.17,0.83,122.04397761836393,0.78,37.5,7.0,,,,,,,,,,,,,,
1923,indiana,,,,,,48.7,59.2,71.6,74.2,71.6,65.7,50.7,41.2,2.41,5.11,3.26,3.67,4.75,3.32,3.15,2.25,-0.45,0.46,-0.35,-0.41,0.62,0.68,0.93,0.69,83.52656746170669,0.73,38.0,6.9,,,,,,,,,,,,,,
1923,iowa,,,,,,47.2,58.7,70.4,75.9,69.7,63.2,47.4,38.4,2.08,2.78,4.88,1.77,5.52,5.95,1.22,0.59,-1.18,-1.43,-1.22,-1.95,0.59,1.43,-0.13,-0.48,43.09363616282891,0.75,40.5,7.9,,,,,,,,,,,,,,
1923,minnesota,,,,,,39.0,54.7,67.3,71.6,63.0,58.9,43.7,34.1,1.7,1.88,4.51,3.1,2.35,2.33,0.82,0.47,-2.64,-3.07,-2.78,-2.87,-3.14,-3.31,-3.7,-4.4,28.6073072517971,0.67,35.0,7.7,,,,,,,,,,,,,,
1923,missouri,,,,,,53.6,62.3,73.2,77.7,76.9,68.0,52.2,44.2,3.16,4.59,5.46,3.13,3.62,4.23,3.56,2.22,0.24,0.29,0.57,0.47,0.47,0.59,0.85,0.7,49.55026748393525,,30.0,5.8,,,,,,,,,,,,,,
1923,nebraska,,,,,,46.7,56.4,67.9,75.5,69.6,62.7,46.1,39.5,2.48,5.3,4.7,3.06,4.7,3.34,1.83,0.38,0.17,1.22,1.8,2.17,3.74,4.41,4.72,4.14,17.078699448633387,0.67,32.0,5.5,,,,,,,,,,,,,,
1924,illinois,,,,,,52.9,55.9,69.2,71.1,73.2,60.8,58.9,41.5,2.16,3.52,6.8,3.31,5.13,3.07,1.02,1.23,-0.68,0.1,1.32,1.31,2.08,2.19,-0.61,-1.03,124.58224370635196,1.02,33.0,6.5,,,,,,,,,,,,,,
1924,indiana,,,,,,51.1,54.7,69.1,70.8,72.0,60.8,57.6,41.0,3.23,4.12,6.37,1.81,3.7,3.57,0.4,1.36,0.97,1.19,2.12,-0.63,0.15,0.55,-1.02,-1.85,84.73470979185629,1.03,28.0,5.6,,,,,,,,,,,,,,
1924,iowa,,,,,,49.5,53.4,66.0,69.4,70.6,57.8,56.6,37.0,1.35,1.68,7.94,3.74,5.47,3.0,0.82,0.61,-0.72,-1.22,1.54,1.67,2.35,2.4,-0.58,-0.89,43.00478330476122,1.01,28.0,7.1,,,,,,,,,,,,,,
1924,minnesota,,,,,,40.1,46.5,60.1,65.4,63.9,53.5,50.9,27.1,2.5,1.86,4.09,2.93,4.7,3.66,1.47,0.46,-5.67,-5.24,0.27,0.22,1.11,1.82,1.5,1.15,28.9984003143468,0.91,26.5,7.3,,,,,,,,,,,,,,
1924,missouri,,,,,,56.0,58.5,72.3,73.0,76.6,63.3,60.9,45.4,2.15,4.69,7.34,5.37,4.3,3.8,1.25,1.81,-0.76,0.29,1.21,2.03,2.35,2.52,-0.57,-0.75,50.324938718484326,,23.5,5.9,,,,,,,,,,,,,,
1924,nebraska,,,,,,48.6,52.4,66.1,70.7,72.3,59.1,55.1,37.5,0.71,1.8,4.05,3.46,2.18,2.22,1.03,0.28,3.32,2.74,2.92,3.46,3.28,3.31,2.73,2.07,17.233842819854885,0.97,21.5,5.6,,,,,,,,,,,,,,
1925,illinois,,,,,,57.5,58.6,73.9,75.1,73.6,72.2,44.9,37.9,2.62,1.32,4.69,3.04,2.62,4.83,3.91,2.99,-1.74,-2.39,-2.07,-2.14,-2.38,0.23,0.93,1.15,126.15355128463028,0.64,41.0,7.5,,,,,,,,,,,,,,
1925,indiana,,,,,,55.9,57.1,73.6,73.6,72.6,71.9,45.3,38.6,2.22,1.27,3.84,4.27,2.43,5.37,3.73,4.35,-2.36,-2.99,-3.0,-2.61,-2.9,0.55,1.18,1.85,85.64081653946849,0.59,42.0,7.3,,,,,,,,,,,,,,
1925,iowa,,,,,,55.4,56.9,69.6,73.5,71.6,67.9,39.0,34.3,2.22,1.15,6.37,2.71,3.43,5.04,2.87,0.73,-1.59,-2.4,0.68,-0.38,-0.56,0.32,1.01,0.78,43.12917730605598,0.6,43.9,8.5,,,,,,,,,,,,,,
1925,minnesota,,,,,,47.5,51.7,62.6,66.7,68.0,59.5,33.6,27.3,2.08,1.51,6.65,2.92,2.3,4.05,0.93,0.77,-0.71,-1.34,1.44,-0.05,-0.74,-0.16,-0.1,-0.31,29.21695231988928,0.58,36.0,7.3,,,,,,,,,,,,,,
1925,missouri,,,,,,60.3,61.1,76.2,77.6,75.9,74.0,48.1,41.4,4.25,2.14,5.78,2.79,3.37,6.59,4.98,3.03,-1.01,-1.61,0.25,-0.19,-0.29,0.6,1.54,1.86,50.58316246333402,,27.5,6.9,,,,,,,,,,,,,,
1925,nebraska,,,,,,53.7,57.8,69.6,74.5,71.7,66.2,39.4,35.9,2.37,2.11,4.41,2.18,3.43,1.79,1.71,0.28,-0.78,-1.35,-1.02,-1.36,0.42,0.02,0.74,0.34,17.36312896253947,0.63,25.0,5.9,,,,,,,,,,,,,,
1926,illinois,,,,,,45.2,64.0,67.6,75.9,74.7,66.5,53.2,35.7,3.06,2.24,4.06,3.62,4.59,9.62,3.79,3.72,0.05,-0.75,0.15,0.09,0.49,2.96,3.47,4.12,127.69032463041896,0.69,36.0,6.5,,,,,,,,,,,,,,
1926,indiana,,,,,,44.4,62.4,66.4,74.8,74.3,66.8,53.3,37.6,3.67,2.81,2.94,3.25,6.1,8.21,4.31,2.04,0.49,-0.54,-0.73,-0.98,1.06,3.14,3.93,3.75,86.43709216615801,0.66,38.0,6.9,,,,,,,,,,,,,,
1926,iowa,,,,,,45.0,63.8,65.4,74.2,72.6,62.0,49.9,30.7,0.95,2.64,4.18,3.82,3.76,9.56,1.54,2.11,-0.96,-1.6,0.03,0.03,-0.13,2.27,2.05,2.5,43.21803016412367,0.69,39.0,7.6,,,,,,,,,,,,,,
